,Drug,SMILES
3348,CHEMBL3348944,C1=CC=C(C=C1)CC(C(=O)NCC2=CC=CC=C2)NC(=O)C3C(O3)C(=O)NCCC4=CC=C(C=C4)O
3349,"b-D-Glucopyranoside, 4-hydroxyphenyl",C1=CC(=CC=C1O)OC2C(C(C(C(O2)CO)O)O)O
3350,(E/Z)-ferulic acid,COC1=C(C=CC(=C1)C=CC(=O)O)O
3351,CHEMBL3348900,COC(=O)C1=COC(C2C1CC=C2CO)O
3352,NCGC00346613-01,CC(C)(C)[N+](=CC1=C(C=C(C=C1)S(=O)(=O)[O-])S(=O)(=O)[O-])[O-].[Na+].[Na+]
3353,Atazanavir,CC(C)(C)C(C(=O)NC(CC1=CC=CC=C1)C(CN(CC2=CC=C(C=C2)C3=CC=CC=N3)NC(=O)C(C(C)(C)C)NC(=O)OC)O)NC(=O)OC
3354,SCHEMBL2671137,CC(C)CN(CC(C(CC1=CC=CC=C1)NC(=O)OC2CCOC2)O)S(=O)(=O)C3=CC=C(C=C3)N
3355,NCGC00090782-07,CC1=C(C=CC=C1O)C(=O)NC(CSC2=CC=CC=C2)C(CN3CC4CCCCC4CC3C(=O)NC(C)(C)C)O
3356,357263-14-0,CC1CN(CCN1C(=O)C(=O)C2=CNC3=NC=CC(=C23)OC)C(=O)C4=CC=CC=C4
3357,CHEMBL3348942,CC1CC=CC=CC=CC=CC(CC2C(C(CC(O2)(CC(CC3C(O3)C=CC(=O)O1)O)O)O)C(=O)O)OC4C(C(C(C(O4)C)O)N)O
3358,Butoconazole,C1=CC(=C(C(=C1)Cl)SC(CCC2=CC=C(C=C2)Cl)CN3C=CN=C3)Cl
3359,econazole,C1=CC(=CC=C1COC(CN2C=CN=C2)C3=C(C=C(C=C3)Cl)Cl)Cl
3360,Terbinex,CC(C)(C)C#CC=CCN(C)CC1=CC=CC2=CC=CC=C21
3361,SCHEMBL12175228,CC(C)C(C(=O)N1CCCC1C2=NC=C(N2)C3=CC=C(C=C3)C4=CC=C(C=C4)C5=CN=C(N5)C6CCCN6C(=O)C(C(C)C)NC(=O)OC)NC(=O)OC
3362,CHEMBL3348843,CCCC(C(=O)C(=O)NC1CC1)NC(=O)C2C3CCCC3CN2C(=O)C(C(C)(C)C)NC(=O)C(C4CCCCC4)NC(=O)C5=NC=CN=C5
3363,ZINC43163828,CC(C)NC1CCN2C3=C(C1O)C=CC=C3NC2=O
3364,PROCATEROL,CCC(C(C1=C2C=CC(=O)NC2=C(C=C1)O)O)NC(C)C
3365,DU-21220,CC(C(C1=CC=C(C=C1)O)O)NCCC2=CC=C(C=C2)O
3366,phentolamine,CC1=CC=C(C=C1)N(CC2=NCCN2)C3=CC(=CC=C3)O
3367,doxazosin,COC1=C(C=C2C(=C1)C(=NC(=N2)N3CCN(CC3)C(=O)C4COC5=CC=CC=C5O4)N)OC
3368,alfuzosin,CN(CCCNC(=O)C1CCCO1)C2=NC3=CC(=C(C=C3C(=N2)N)OC)OC
3369,prazosin,COC1=C(C=C2C(=C1)C(=NC(=N2)N3CCN(CC3)C(=O)C4=CC=CO4)N)OC
3370,Racemic Tamsulosin,CCOC1=CC=CC=C1OCCNC(C)CC2=CC(=C(C=C2)OC)S(=O)(=O)N
3371,CHEMBL3348946,CC(CC1=CC2=C(C(=C1)C(=O)N)N(CC2)CCCO)NCCOC3=CC=CC=C3OCC(F)(F)F
3372,phenylephrine,CNCC(C1=CC(=CC=C1)O)O
3373,xylometazoline,CC1=CC(=CC(=C1CC2=NCCN2)C)C(C)(C)C
3374,(+)-Usnic acid,CC1=C(C(=C2C(=C1O)C3(C(=CC(=C(C3=O)C(=O)C)O)O2)C)C(=O)C)O
3375,phenoxybenzamine,CC(COC1=CC=CC=C1)N(CCCl)CC2=CC=CC=C2
3376,PSEUDOYOHIMBINE,COC(=O)C1C(CCC2C1CC3C4=C(CCN3C2)C5=CC=CC=C5N4)O
3377,tizanidine,C1CN=C(N1)NC2=C(C=CC3=NSN=C32)Cl
3378,norepinephrine,C1=CC(=C(C=C1C(CN)O)O)O
3379,CHEMBL3348860,CC12CCC3C(C1CCC2=O)CC(=C)C4=CC(=O)C=CC34C
3380,SR-01000075723,CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CO)O)C)O)F)C
3381,ZINC97975747,CC12CC(=O)C3C(C1CCC2(C(=O)CO)O)CCC4=CC(=O)C=CC34C
3382,NCGC00179649-07,CC12CC(C3C(C1CCC2(C(=O)CO)O)CCC4=CC(=O)C=CC34C)O
3383,NCGC00021925-04,CC(=O)OCC(=O)C1(CCC2C1(CC(C3C2CCC4=CC(=O)C=CC34C)O)C)O
3384,NCGC00016330-01,CC1CC2C3CCC(C3(CC(C2C4(C1=CC(=O)C=C4)C)O)C)(C(=O)CO)O
3385,CHEMBL3349012,CC(=O)OCC(=O)C1(CCC2C1(CC(=O)C3C2CCC4=CC(=O)CCC34C)C)O
3386,CHEMBL3348884,CC(=O)OCC(=O)C12C(CC3C1(CC(C4(C3CC(C5=CC(=O)C=CC54C)F)F)O)C)OC(O2)(C)C
3387,CHEMBL1394734,CC1(OC2CC3C4CC(C5=CC(=O)C=CC5(C4C(CC3(C2(O1)C(=O)CO)C)O)C)F)C
3388,CHEMBL3348838,CC1=NC2(C(O1)CC3C2(CC(C4C3CCC5=CC(=O)C=CC45C)O)C)C(=O)COC(=O)C
3389,SR-05000001623,CC12CCC3C(C1CCC2=O)CCC4=C3C=CC(=C4)O
3390,SCHEMBL6464278,CC12CCC3C(C1CCC2=O)CC=C4C3(CCC(C4)O)C
3391,NCGC00090797-11,CC1C(C(CC(O1)OC2C(OC(CC2O)OC3C(OC(CC3O)OC4CCC5(C(C4)CCC6C5CC(C7(C6(CCC7C8=CC(=O)OC8)O)C)O)C)C)C)O)O
3392,CHEMBL3349010,CC1C(C(C(C(O1)OC2CCC3(C4CCC5(C(CCC5(C4CCC3=C2)O)C6=COC(=O)C=C6)C)C)O)O)O
3393,NCGC00179363-03,CC(CCC(=O)O)C1CCC2C1(CCC3C2C(CC4C3(CCC(C4)O)C)O)C
3394,145-13-1,CC(=O)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C
3395,CHEMBL3348847,CC(C1CCC2(C1(CCC3C2=CC(=O)C4C3(CC(C(C4)O)O)C)C)O)C(CCC(C)(C)O)O
3396,CHEMBL3348926,CC12CCC3C(C1CCC2(C)O)CCC4C3(COC(=O)C4)C
3397,CHEMBL3348849,CC12CCC3C(C1CCC2(C)O)CCC4C3(CC5=C(C4)NN=C5)C
3398,NCGC00017244-05,CC1(C2CCC3(C(C2(CCC1O)C)C(=O)C=C4C3(CCC5(C4CC(CC5)(C)C(=O)O)C)C)C)C
3399,CHEMBL3348967,CC(=O)OC1C(CC2C1(CCC3C2CCC4C3(CC(C(C4)O)N5CCOCC5)C)C)[N+]6(CCCC6)CC=C
3400,CHEMBL3348914,CC(=O)OC1CC2CCC3C(C2(CC1N4CCCCC4)C)CCC5(C3CC(C5OC(=O)C)[N+]6(CCCCC6)C)C
3401,TRIMETHYL GLYCINE,C[N+](C)(C)CC(=O)O
3402,JS-K,CCOC(=O)N1CCN(CC1)[N+](=NOC2=C(C=C(C=C2)[N+](=O)[O-])[N+](=O)[O-])[O-]
3403,CHEMBL3348982,CC1CCC2(CCC3(C(=CCC4C3(CCC5C4(CC(C(C5(C)CO)O)O)C)C)C2C1C)C)C(=O)O
3404,Megestryl acetate,CC1=CC2C(CCC3(C2CCC3(C(=O)C)OC(=O)C)C)C4(C1=CC(=O)CC4)C
3405,CHEMBL3348947,CC1CC2C(CCC3(C2CCC3(C(=O)C)OC(=O)C)C)C4(C1=CC(=O)CC4)C
3406,CHEMBL3348934,CC12CCC3=C4CCC(=O)C=C4CCC3C1CCC2(CC#N)O
3407,CHEMBL3348935,CC12CCC(=O)C=C1C3CC3C4C2CCC5(C4C6CC6C57CCC(=O)O7)C
3408,ZINC22059945,CCC12CCC3C(C1C=CC2(C#C)O)CCC4=CC(=O)CCC34
3409,CHEMBL3348910,CCC12CCC3C(C1CCC2(C#C)O)CCC4=CC(=O)CCC34
3410,17-Hydroxypregn-4-en-20-yn-3-one,CC12CCC(=O)C=C1CCC3C2CCC4(C3CCC4(C#C)O)C
3411,NCGC00263148-01,CC12CCC(CC1=CCC3C2CCC4(C3CC=C4C5=CN=CC=C5)C)O
3412,SCHEMBL2610023,CC12CCC3C(C1CCC2O)CCC4=CC(=C(C=C34)OC)O
3413,143945-86-2,C1=CC(=CC=C1CN2C=CN=C2)C=CC(=O)O
3414,SB 218795,COC(=O)[C@H](NC(=O)c1cc(-c2ccccc2)nc2ccccc12)c1ccccc1
3415,cromoglycate(2-),C1=CC2=C(C(=C1)OCC(COC3=CC=CC4=C3C(=O)C=C(O4)C(=O)[O-])O)C(=O)C=C(O2)C(=O)[O-]
3416,Suplatast,CCOCC(COC1=CC=C(C=C1)NC(=O)CC[S+](C)C)O
3417,CHEMBL3348899,C1CCN2CC3CC(C2C1)C=C4C3NCCC4
3418,Olopatadin,CN(C)CCC=C1C2=CC=CC=C2COC3=C1C=C(C=C3)CC(=O)O
3419,ZINC101112865,CN1C2CC(CC1C3C2O3)OC(=O)C(CO)C4=CC=CC=C4
3420,CHEMBL258622,C[N+]1(C2CC(CC1C3C2O3)OC(=O)C(C4=CC=CS4)(C5=CC=CS5)O)C
3421,oxybutynin,CCN(CC)CC#CCOC(=O)C(C1CCCCC1)(C2=CC=CC=C2)O
3422,orphenadrine,CC1=CC=CC=C1C(C2=CC=CC=C2)OCCN(C)C
3423,Fesoterodine,CC(C)C(=O)OC1=C(C=C(C=C1)CO)C(CCN(C(C)C)C(C)C)C2=CC=CC=C2
3424,OTILONIUM,CCCCCCCCOC1=CC=CC=C1C(=O)NC2=CC=C(C=C2)C(=O)OCC[N+](C)(CC)CC
3425,Triethylgallamine,CC[N+](CC)(CC)CCOC1=C(C(=CC=C1)OCC[N+](CC)(CC)CC)OCC[N+](CC)(CC)CC
3426,amiodarone,CCCCC1=C(C2=CC=CC=C2O1)C(=O)C3=CC(=C(C(=C3)I)OCCN(CC)CC)I
3427,L-Hyoscyamine,CN1C2CCC1CC(C2)OC(=O)C(CO)C3=CC=CC=C3
3428,bethanechol,CC(C[N+](C)(C)C)OC(=O)N
3429,CHEMBL387477,CS(=O)(=O)C1=C2C(=CC(=C1)F)C3=C(N2CC4=CC=C(C=C4)Cl)C(CC3)CC(=O)O
3430,15(S)-Fluprostenol isopropyl ester,CC(C)OC(=O)CCCC=CCC1C(CC(C1C=CC(COC2=CC=CC(=C2)C(F)(F)F)O)O)O
3431,NCGC00346664-01,CC12CC3(C4CC1(C4(C(O2)O3)COC(=O)C5=CC=CC=C5)OC6C(C(C(C(O6)CO)O)O)O)O
3432,CHEMBL3348952,CC12CCC(=O)C=C1CC(C3C24C(O4)CC5(C3CCC56CCC(=O)O6)C)C(=O)OC
3433,NCGC00346531-01,CCC1CCC2C(C(C(C3(O2)CCC(C(O3)CC(C)O)C)C)OC(=O)C=CC(C(C(C(=O)C(C(C(C(=O)C(C(C(CC=CC=C1)C)O)(C)O)C)O)C)C)O)C)C
3434,ticlopidine,C1CN(CC2=C1SC=C2)CC3=CC=CC=C3Cl
3435,warfarin,CC(=O)CC(C1=CC=CC=C1)C2=C(C3=CC=CC=C3OC2=O)O
3436,Nafamostat,C1=CC(=CC=C1C(=O)OC2=CC3=C(C=C2)C=C(C=C3)C(=N)N)N=C(N)N
3437,NCGC00185736-01,CCC(C(C)O)N1C(=O)N(C=N1)C2=CC=C(C=C2)N3CCN(CC3)C4=CC=C(C=C4)OCC5CC(OC5)(CN6C=NC=N6)C7=C(C=C(C=C7)F)F
3438,CHEMBL317493,CCCN1CCOC2C1COC3=C2C=C(C=C3)O
3439,Sumanirole,CNC1CC2=C3C(=CC=C2)NC(=O)N3C1
3440,FLUPHENAZINE,C1CN(CCN1CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)C(F)(F)F)CCO
3441,sulpiride,CCN1CCCC1CNC(=O)C2=C(C=CC(=C2)S(=O)(=O)N)OC
3442,duloxetine,CNCCC(C1=CC=CS1)OC2=CC=CC3=CC=CC=C32
3443,clomipramine,CN(C)CCCN1C2=CC=CC=C2CCC3=C1C=C(C=C3)Cl
3444,Nepicastat,C1CC2=C(C=C(C=C2CC1N3C(=CNC3=S)CN)F)F
3445,1-beta-D-Xylofuranosyluracil,C1=CN(C(=O)NC1=O)C2C(C(C(O2)CO)O)O
3446,Isoreserpin,COC1C(CC2CN3CCC4=C(C3CC2C1C(=O)OC)NC5=C4C=CC(=C5)OC)OC(=O)C6=CC(=C(C(=C6)OC)OC)OC
3447,Caffeine citrate,CN1C=NC2=C1C(=O)N(C(=O)N2C)C.C(C(=O)O)C(CC(=O)O)(C(=O)O)O
3448,Skf 89976A,C1CC(CN(C1)CCC=C(C2=CC=CC=C2)C3=CC=CC=C3)C(=O)O
3449,Dabigatran etexilate mesylate,CCCCCCOC(=O)N=C(C1=CC=C(C=C1)NCC2=NC3=C(N2C)C=CC(=C3)C(=O)N(CCC(=O)OCC)C4=CC=CC=N4)N
3450,dl-Carbidopa,CC(CC1=CC(=C(C=C1)O)O)(C(=O)O)NN
3451,CHEMBL492193,CN1CCC23C=CC(CC2OC4=C(C=CC(=C34)C1)OC)O
3452,rivastigmine,CCN(C)C(=O)OC1=CC=CC(=C1)C(C)N(C)C
3453,Huperzine A,CC=C1C2CC3=C(C1(CC(=C2)C)N)C=CC(=O)N3
3454,9-cis Acitretin,CC1=CC(=C(C(=C1C=CC(=CC=CC(=CC(=O)O)C)C)C)C)OC
3455,NCGC00346433-01,CCC(CC)C(C1C(CC(C1O)C(=O)O)N=C(N)N)NC(=O)C
3456,CHEMBL3348924,CC(=O)NC1C(C=C(OC1C(C(CO)O)O)C(=O)O)N=C(N)N
3457,9-BETA-D-XYLOFURANOSYL-ADENINE,C1=NC2=C(C(=N1)N)N=CN2C3C(C(C(O3)CO)O)O
3458,SCHEMBL10015658,C1C(C(OC1N2C=C(C(=O)NC2=O)I)CO)O
3459,bromhexine,CN(CC1=CC(=CC(=C1N)Br)Br)C2CCCCC2
3460,selegiline,CC(CC1=CC=CC=C1)N(C)CC#C
3461,NSC 242267,C1CCN(CC1)C(=O)C=CC=CC2=CC3=C(C=C2)OCO3
3462,ZINC11616261,C1=NC(=C(N1C2C(C(C(O2)CO)O)O)O)C(=O)N
3463,Spectrum_001978,CC1=C(C(=C(C2=C1COC2=O)O)CC=C(C)CCC(=O)O)OC
3464,SCHEMBL326516,C1=NC(=NN1C2C(C(C(O2)CO)O)O)C(=O)N
3465,MCOPPB,CC1(CCCCCCC1)N2CCC(CC2)N3C4=CC=CC=C4N=C3C5CCCNC5
3466,JTC-801 free base,CCC1=CC=C(C=C1)OCC2=CC=CC=C2C(=O)NC3=CC4=C(C=C3)N=C(C=C4N)C
3467,SCHEMBL1946862,CCN1C2=CC=CC=C2N(C1=O)C3CCN(CC3CO)CC4CCCCCCC4
3468,CHEMBL3348895,C1=CC(=CC=C1C=CC2=CC(=CC(=C2)OC3C(C(C(C(O3)CO)O)O)O)O)O
3469,NCGC00160515-03,CC1C(C(C(C(O1)OC2C(OC(C(C2O)O)OC3C(OC(C(C3O)O)O)CO)CO)O)O)NC4C=C(C(C(C4O)O)O)CO
3470,ZINC3831133,C1C(C(C(C(N1CCO)CO)O)O)O
3471,NCGC00346729-01,C1CCC2CN(CC2C1)C(=O)CC(CC3=CC=CC=C3)C(=O)[O-]
3472,ZINC139045355,C1CCC(CC1)C2CC2(C3=CC=C(C=C3)S(=O)(=O)C4CC4)C(=O)NC5=NC=C(S5)SCCN6CCCC6
3473,PHENFORMIN,C1=CC=C(C=C1)CCN=C(N)N=C(N)N
3474,dorzolamide,CCNC1CC(S(=O)(=O)C2=C1C=C(S2)S(=O)(=O)N)C
3475,CHEMBL3348953,CCNC(=O)CCCC=CCC1C(CC(C1C=CC(CCC2=CC=CC=C2)O)O)O
3476,CHEMBL3348824,CCCCCC(C=CC1C(CC(=O)C1CCCCCCC(=O)O)O)O
3477,Buflomedil,COC1=CC(=C(C(=C1)OC)C(=O)CCCN2CCCC2)OC
3478,CHEMBL3348948,CC1CCC2(C(C3C(O2)CC4C3(CCC5C4CC=C6C5(CCC(C6)OC7C(C(C(C(O7)CO)OC8C(C(C(C(O8)C)O)O)O)O)OC9C(C(C(C(O9)C)O)O)O)C)C)C)OC1
3479,CHEMBL3348918,CC1CCC2C13CC(C(O3)(CC2=C)O)C(C)C
3480,Pentitol,C(C(C(C(CO)O)O)O)O
3481,NCGC00142624-04,C(C1C(C(C(C(O1)OC2C(OC(C2O)(CO)O)CO)O)O)O)O
3482,NCGC00091109-03,CC1C(C(C(C(O1)OC2C(C(C(OC2OC3=CC(=C(C(=C3)O)C(=O)CCC4=CC(=C(C=C4)OC)O)O)CO)O)O)O)O)O
3483,Bracken fern toxic component,C1C(C(C(C=C1C(=O)O)O)O)O
3484,CHEMBL3186547,CC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCO)C)C)C)C)C)C)C)C)C
3485,CHEMBL3348941,CC1(CCCC2(C1CCC3(C2CC(=O)O3)C)C)C
3486,CHEMBL3348892,CC1(C(CCC23C1C(CC4C2(C3)CCC5(C4(CC(C5C6(CCC(O6)C(C)(C)O)C)O)C)C)OC7C(C(C(C(O7)CO)O)O)O)OC8C(C(C(CO8)O)O)O)C
3487,CHEBI:93770,CCCCCN(C)CCC(O)(P(=O)(O)O)P(=O)(O)[O-]
3488,propafenone,CCCNCC(COC1=CC=CC=C1C(=O)CCC2=CC=CC=C2)O
3489,NCGC00016752-02,CCCC1CC(N(C1)C)C(=O)NC(C2C(C(C(C(O2)SC)O)O)O)C(C)Cl
3490,CHEMBL2137189,CCC1(CCC(=O)NC1=O)CC2=CC=C(C=C2)N
3491,CHEMBL2134016,CCC1(CC2CC(C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)C78CCN9C7C(C=CC9)(C(C(C8N6C=O)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O
3492,(+)-Blebbistatin,CC1=CC2=C(C=C1)N=C3C(C2=O)(CCN3C4=CC=CC=C4)O
3493,NCGC00161622-03,CC1C(C(=O)NC(C(=O)N2CCCC2C(=O)N(CC(=O)N(C(C(=O)O1)C(C)C)C)C)C(C)C)NC(=O)C3=C4C(=C(C=C3)C)OC5=C(C(=O)C(=C(C5=N4)C(=O)NC6C(OC(=O)C(N(C(=O)CN(C(=O)C7CCCN7C(=O)C(NC6=O)C(C)C)C)C)C(C)C)C)N)C
3494,Tocris-1479,CC#CC1(CCC2C1(CC(C3=C4CCC(=O)C=C4CCC23)C5=CC=C(C=C5)N(C)C)C)O
3495,CHEMBL3392636,CC1=C(NC(=C1C(=O)C2CCCN2CN3CCCC3)C)C=C4C5=C(C=CC(=C5)S(=O)(=O)CC6=C(C=CC=C6Cl)Cl)NC4=O
3496,Isocycloheximide,CC1CC(C(=O)C(C1)C(CC2CC(=O)NC(=O)C2)O)C
3497,CHEMBL2138352,C1COCCN1C2=CC(=O)C=C(O2)C3=CC=CC4C3SC5=CC=CC=C5S4
3498,SCHEMBL3489513,CCN(CCCO)CCCOC1=CC2=C(C=C1)C(=NC=N2)NC3=NNC(=C3)CC(=O)NC4=CC(=CC=C4)F
3499,CHEMBL2134640,C1CCC(C1)C2=C(C=CC(=C2)C3=CNC4=C3C=C(C=C4)C5=CC=CC=C5)C(=O)O
3500,CHEMBL1444076,CC(C(=O)NC(C1=CC=CC=C1)C(=O)OC(C)(C)C)NC(=O)CC2=CC(=CC(=C2)F)F
3501,NCGC00242502-01,CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CO)O)C)O)F)C
3502,(-)-Ethyl apovincaminate,CCC12CCCN3C1C4=C(CC3)C5=CC=CC=C5N4C(=C2)C(=O)OCC
3503,cc-57,CC1=NN=C(N1C2CC3CCC(C2)N3CCC(C4=CC=CC=C4)NC(=O)C5CCC(CC5)(F)F)C(C)C
3504,Tocris-1958,C1CCN(CC1)C2C(CC(C2CCC=CCCC(=O)O)OCC3=CC=C(C=C3)C4=CC=CC=C4)O
3505,vincristine,CCC1(CC2CC(C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)C78CCN9C7C(C=CC9)(C(C(C8N6C=O)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O
3506,Tocris-1097,CC1=C2C(C(=O)C3(C(CC4C(C3C(C(C2(C)C)(CC1OC(=O)C(C(C5=CC=CC=C5)NC(=O)C6=CC=CC=C6)O)O)OC(=O)C7=CC=CC=C7)(CO4)OC(=O)C)O)C)OC(=O)C
3507,AT2 Agonist C21,CCCCOC(=O)NS(=O)(=O)C1=C(C=C(S1)CC(C)C)C2=CC=C(C=C2)CN3C=CN=C3
3508,939981-37-0,CCOC1=C(C=CC(=C1)C(C)(C)C)C2=NC(C(N2C(=O)N3CCN(CC3)CC(=O)N4CCOCC4)(C)C5=CC=C(C=C5)Cl)(C)C6=CC=C(C=C6)Cl
3509,compound 8e [PMID: 24432909],CC1=C(SC(=N1)C(C)(CO)O)C2=CC(=C(N=C2)N)OC(C)C3=C(C=CC(=C3)F)N4N=CC=N4
3510,BMS-595,CN1CCN(CC1)C2=CC(=CC(=C2Cl)NC3=NN4C(=CN=C4C(=C3)NC5CC5)C#N)NC(=O)OC
3511,926319-75-7,CC(C)N1C=NC2=C1N=C(N=C2NCCCCCCNC(=O)OC(C)(C)C)NCCO
3512,Cdk4/6 Inhibitor IV,CCNC1=NC(=NC(=C1)NC2CCC(CC2)O)NC3=CC4=C(C=C3)N(C=C4)CC5=CC=CC=C5
3513,Senexin B,CN1CCN(CC1)C(=O)C2=CC3=C(C=C2)C=C(C=C3)CCNC4=NC=NC5=C4C=C(C=C5)C#N
3514,SCHEMBL20400776,C1CC1NCC2=CC(=CC=C2)NC3=NNC(=C3)C4=CC=C(C=C4)C5=C(C=C(C=C5)O)O
3515,SCHEMBL17378613,CCN(CC)CCCCNC1=NC=C2CN(C(=O)N(C2=N1)C)C3=C(C(=CC(=C3Cl)OC)OC)Cl
3516,185039-99-0,CN1C2=NC(=NC=C2C=C(C1=O)C3=C(C=CC=C3Cl)Cl)NC4=CC=CC(=C4)C(=O)O
3517,SCHEMBL19918218,C1CNCC1NC2=CC=CC(=N2)C3=CN=C4N3C=C(C=C4)C5=CNN=C5
3518,MLS002232309,CC(C)N1C(=O)CCN(C2=NC(=NC=C21)NC3=C(C=C(C=C3)C(=O)NC4CCN(CC4)C)OC)C5CCCC5
3519,Kinome_3682,C1CN2C=C(C3=C2C(=CC=C3)CN1C(=O)N4CCOCC4)C5=C(C(=O)NC5=O)C6=CN=C7N6C=CC=C7
3520,CHEMBL1950303,C1CC(CCC1NC2=NC=C3C(=N2)N(C(=N3)NC4=C(C=C(C=C4F)F)F)C5CCOC5)O
3521,compound 31 [PMID: 22902653],CCNC(=O)NC1=NC=C(S1)C2=NC(=NC(=C2)C3=C(C=C(C=C3C)OC)C)C4=NC=CN=C4
3522,SL 0101-1,CC1C(C(C(C(O1)OC2=C(OC3=CC(=CC(=C3C2=O)O)O)C4=CC=C(C=C4)O)O)OC(=O)C)OC(=O)C
3523,NCGC00183677-03,CC1CC=CC(=O)C(C(CC2C(O2)C3=CC(=CC(=C3C(=O)O1)O)OC)O)O
3524,unc569,CCCCNC1=NC=C2C(=NN(C2=N1)CC3CCC(CC3)N)C4=CC=C(C=C4)F
3525,B022,CC(C#CC1=CC2=C(CCN2C3=NC(=NC=C3Cl)N)C=C1)(C4=NC=CS4)O
3526,FRAX597,CCN1C2=NC(=NC=C2C=C(C1=O)C3=C(C=C(C=C3)C4=CN=CS4)Cl)NC5=CC=C(C=C5)N6CCN(CC6)C
3527,AL 8697,CC1=C(C=C(C=C1C2=C(C3=NN=C(N3C=C2F)C(C)(C)C)F)C(=O)NC4CC4)F
3528,928344-12-1,CC1=CC=CC=C1N2C(=O)C=CC(=N2)C3=C4NCC(CN4N=C3C5=CC=C(C=C5)F)CO
3529,OTS-964,CC1=CC(=C(C2=C1NC(=O)C3=C2C=CS3)C4=CC=C(C=C4)C(C)CN(C)C)O
3530,MIVACURIUM CHLORIDE,COc1cc2c(cc1OC)[C@@H](Cc1cc(OC)c(OC)c(OC)c1)[N+](C)(CCCOC(=O)CC/C=C/CCC(=O)OCCC[N+]1(C)CCc3cc(OC)c(OC)cc3[C@H]1Cc1cc(OC)c(OC)c(OC)c1)CC2.[Cl-].[Cl-]
3531,PDK1 inhibitor,C1=CC=C(C=C1)C(COC2=CC3=C(C=C2)NC(=O)N3)NC(=O)C4=CC=CN(C4=O)CC5=CC(=C(C=C5)F)F
3532,Raf265 derivative,C1=CC(=CC=C1C(F)(F)F)NC2=NC3=C(N2)C=C(C=C3)OC4=CC(=NC=C4)C5=NC=C(N5)C(F)(F)F
3533,Rho Kinase Inhibitor IV,CC1CN(CCCN1S(=O)(=O)C2=CC=CC3=CN=CC(=C32)C)C(=O)CN
3534,Cot inhibitor-2,CCN1CCC(CC1)N2C=C(N=N2)CNC3=CC(=C4C(=C3)C(=C(C=N4)C#N)NC5=CC(=C(C=C5)F)Cl)Cl
3535,Antitumor Compound 1,C1=CC2=NC(=C(N2C=C1)C3=CSC(=N3)NC4=CC=C(C=C4)C(F)(F)F)C(F)(F)F
3536,GSK 525768A,CCNC(=O)CC1C2=NN=C(N2C3=C(C=C(C=C3)OC)C(=N1)C4=CC=C(C=C4)Cl)C
3537,BET-BAY 002,CC1=NN=C2N1C3=CC=CC=C3C(=CC2CC4=NN=C(O4)C)C5=CC=C(C=C5)Cl
3538,CHEMBL2337032,CC1=C(C=CC(=C1Cl)C(=O)NC2=C(C=CC(=C2)[N+](=O)[O-])N3CCN(CC3)C)F
3539,G007-LK,CS(=O)(=O)C1=CN=C(C=C1)C2=NN=C(N2C3=CC=CC=C3Cl)C=CC4=NN=C(O4)C5=CC=C(C=C5)C#N
3540,NVP-TNKS656,COC1=CC=C(C=C1)C(=O)C2CCN(CC2)CC(=O)N(CC3CC3)CC4=NC5=C(COCC5)C(=O)N4
3541,XRP44X,CC1=NN(C(=C1)C(=O)N2CCN(CC2)C3=CC(=CC=C3)Cl)C4=CC=CC=C4
3542,ML364,CC1=CC=C(C=C1)S(=O)(=O)NC2=C(C=CC(=C2)C(F)(F)F)C(=O)NC3=NC(=CS3)C4=CC=CC=C4
3543,Celsentri (Maraviroc),CC1=NN=C(N1C2CC3CCC(C2)N3CCC(C4=CC=CC=C4)NC(=O)C5CCC(CC5)(F)F)C(C)C
3544,Hh-Ag1.5,CNC1CCC(CC1)N(CC2=CC=CC(=C2)C3=CC=NC=C3)C(=O)C4=C(C5=C(C=CC(=C5S4)F)F)Cl
3545,FASN BI,CCC(=O)NC1CCC(C1)C(=O)N(C)C2=CC=C(C=C2)C3=NC4=CC=CC=C4O3
3546,Org 25935,CN(CC1CCC2=C(C1C3=CC=CC=C3)C=CC(=C2)OC)CC(=O)O
3547,IDH-C227,CC1=CC=CC=C1C(C(=O)NC2CCCCC2)N(C3=CC(=CC=C3)F)C(=O)CNC4=CC=C(C=C4)C#N
3548,GSK864,CC1=CC(=CC(=C1OC)C)NC(=O)C2=NN(C3=C2CN(CC3(C)C(=O)N)C(=O)C4=CC=CN4)CC5=CC=C(C=C5)F
3549,KI696,CC1CN(S(=O)(=O)C2=CC=CC=C2O1)CC3=C(C=CC(=C3)C(CC(=O)O)C4=CC5=C(C(=C4)OC)N(N=N5)C)C
3550,2-Deoxy-D-galactopyranose,C1C(C(C(OC1O)CO)O)O
